year,name,pick,college,seasons,g,ws_48,bpm,vorp
2016,Malcolm Brogdon,36,Virginia,7,400,.122,1.4,10.0
2016,Chinanu Onuaku,37,Louisville,2,6,.043,-5.4,-0.1
2016,Patrick McCaw,38,UNLV,5,199,.062,-2.8,-0.6
2016,David Michineau,39,,,,,,
2016,Diamond Stone,40,Maryland,1,7,-.211,-20.8,-0.1
2016,Stephen Zimmerman,41,UNLV,1,19,-.005,-8.3,-0.2
2016,Isaiah Whitehead,42,Seton Hall,2,89,-.025,-5.0,-1.4
2016,Zhou Qi,43,,2,19,-.093,-9.6,-0.2
2016,Isaïa Cordinier,44,,,,,,
2016,Demetrius Jackson,45,Notre Dame,3,26,.087,-0.5,0.1
2016,A.J. Hammons,46,Purdue,1,22,-.001,-6.6,-0.2
2016,Jake Layman,47,Maryland,6,243,.059,-2.3,-0.2
2016,Paul Zipser,48,,2,98,-.001,-5.2,-1.4
2016,Michael Gbinije,49,Syracuse,1,9,-.136,-12.1,-0.1
2016,Georges Niang,50,Iowa State,7,381,.085,-1.2,1.2
2016,Ben Bentil,51,Providence,1,3,-.473,-25.9,-0.1
2016,Joel Bolomboy,52,Weber State,2,18,.132,-0.1,0.0
2016,Petr Cornelie,53,,1,13,-.015,-8.8,-0.1
2016,Kay Felder,54,Oakland,2,58,-.041,-4.7,-0.4
2016,Marcus Paige,55,UNC,1,5,-.006,-8.8,0.0
2016,Daniel Hamilton,56,UConn,2,25,.000,-3.3,-0.1
2016,Wang Zhelin,57,,,,,,
2016,Abdel Nader,58,Iowa State,5,202,.052,-2.6,-0.4
2016,Isaiah Cousins,59,Oklahoma,,,,,
2016,Tyrone Wallace,60,California,4,112,.003,-5.2,-1.4
2017,Markelle Fultz,1,Washington,6,189,.069,-1.1,1.2
2017,Lonzo Ball,2,UCLA,5,252,.067,1.1,6.3
2017,Jayson Tatum,3,Duke,6,438,.147,3.3,19.9
2017,Josh Jackson,4,Kansas,5,291,-.012,-3.8,-3.1
2017,De'Aaron Fox,5,Kentucky,6,394,.087,0.5,8.1
2017,Jonathan Isaac,6,Florida State,4,147,.093,0.3,2.1
2017,Lauri Markkanen,7,Arizona,6,348,.112,0.8,7.3
2017,Frank Ntilikina,8,,6,314,.004,-4.3,-3.1
2017,Dennis Smith Jr.,9,NC State,6,270,.004,-2.3,-0.5
2017,Zach Collins,10,Gonzaga,5,244,.075,-1.7,0.4
2017,Malik Monk,11,Kentucky,6,385,.054,-1.4,1.2
2017,Luke Kennard,12,Duke,6,355,.101,-0.2,3.7
2017,Donovan Mitchell,13,Louisville,6,413,.129,3.1,18.1
2017,Bam Adebayo,14,Kentucky,6,416,.167,2.6,14.4
2017,Justin Jackson,15,UNC,6,278,.052,-2.8,-1.0
2017,Justin Patton,16,Creighton,4,22,.066,-2.8,-0.1
